"","pro_name","c_pct","depth","PMeco","year","Year","PM","ECO"
"0-10 cm...1","ANpp1",8.32598113843265,"0-10","ANpp",2001,"2001","AN","warm"
"10-20 cm...2","ANpp1",3.35859774521221,"10-20","ANpp",2001,"2001","AN","warm"
"20-30 cm...3","ANpp1",1.99139907945322,"20-30","ANpp",2001,"2001","AN","warm"
"0-10 cm...4","ANpp2",6.75101063957485,"0-10","ANpp",2001,"2001","AN","warm"
"10-20 cm...5","ANpp2",3.04593175809059,"10-20","ANpp",2001,"2001","AN","warm"
"20-30 cm...6","ANpp2",2.19864239741874,"20-30","ANpp",2001,"2001","AN","warm"
"0-10 cm...7","ANpp3",9.03925308289338,"0-10","ANpp",2001,"2001","AN","warm"
"10-20 cm...8","ANpp3",5.03107161021315,"10-20","ANpp",2001,"2001","AN","warm"
"20-30 cm...9","ANpp3",3.65139988940978,"20-30","ANpp",2001,"2001","AN","warm"
"0-10 cm...10","ANrf1",12.9023162980863,"0-10","ANrf",2001,"2001","AN","cold"
"10-20 cm...11","ANrf1",5.45317062690341,"10-20","ANrf",2001,"2001","AN","cold"
"20-30 cm...12","ANrf1",0.45929767522129,"20-30","ANrf",2001,"2001","AN","cold"
"0-10 cm...13","ANrf3",6.44640255960195,"0-10","ANrf",2001,"2001","AN","cold"
"10-20 cm...14","ANrf3",4.32756052541251,"10-20","ANrf",2001,"2001","AN","cold"
"20-30 cm...15","ANrf3",2.8294903450553,"20-30","ANrf",2001,"2001","AN","cold"
"0-10 cm...16","ANwf1",8.12894822497289,"0-10","ANwf",2001,"2001","AN","cool"
"10-20 cm...17","ANwf1",8.3880504888189,"10-20","ANwf",2001,"2001","AN","cool"
"20-30 cm...18","ANwf1",8.58675431111531,"20-30","ANwf",2001,"2001","AN","cool"
"0-10 cm...19","ANwf2",8.19016912734667,"0-10","ANwf",2001,"2001","AN","cool"
"10-20 cm...20","ANwf2",7.46193035570612,"10-20","ANwf",2001,"2001","AN","cool"
"20-30 cm...21","ANwf2",6.90344883060673,"20-30","ANwf",2001,"2001","AN","cool"
"0-10 cm...22","ANwf3",8.8648611796604,"0-10","ANwf",2001,"2001","AN","cool"
"10-20 cm...23","ANwf3",8.50783830057428,"10-20","ANwf",2001,"2001","AN","cool"
"20-30 cm...24","ANwf3",8.23403980237264,"20-30","ANwf",2001,"2001","AN","cool"
"0-10 cm...25","BSpp1",5.06731063195207,"0-10","BSpp",2001,"2001","BS","warm"
"10-20 cm...26","BSpp1",2.62358079717354,"10-20","BSpp",2001,"2001","BS","warm"
"20-30 cm...27","BSpp1",1.56228595484976,"20-30","BSpp",2001,"2001","BS","warm"
"0-10 cm...28","BSpp2",7.01610281575281,"0-10","BSpp",2001,"2001","BS","warm"
"10-20 cm...29","BSpp2",2.6130736795001,"10-20","BSpp",2001,"2001","BS","warm"
"20-30 cm...30","BSpp2",1.31515375852371,"20-30","BSpp",2001,"2001","BS","warm"
"0-10 cm...31","BSpp3",6.31564377693955,"0-10","BSpp",2001,"2001","BS","warm"
"10-20 cm...32","BSpp3",3.51228464085516,"10-20","BSpp",2001,"2001","BS","warm"
"20-30 cm...33","BSpp3",1.83963599751337,"20-30","BSpp",2001,"2001","BS","warm"
"0-10 cm...34","BSrf1",10.2708175883844,"0-10","BSrf",2001,"2001","BS","cold"
"10-20 cm...35","BSrf1",1.99103199935575,"10-20","BSrf",2001,"2001","BS","cold"
"20-30 cm...36","BSrf1",1.15226797847746,"20-30","BSrf",2001,"2001","BS","cold"
"0-10 cm...37","BSrf2",9.89741456226939,"0-10","BSrf",2001,"2001","BS","cold"
"10-20 cm...38","BSrf2",1.69666897604915,"10-20","BSrf",2001,"2001","BS","cold"
"20-30 cm...39","BSrf2",1.80670157490519,"20-30","BSrf",2001,"2001","BS","cold"
"0-10 cm...40","BSrf3",11.7185521398184,"0-10","BSrf",2001,"2001","BS","cold"
"10-20 cm...41","BSrf3",1.54898374248053,"10-20","BSrf",2001,"2001","BS","cold"
"20-30 cm...42","BSrf3",1.34705734341258,"20-30","BSrf",2001,"2001","BS","cold"
"0-10 cm...43","BSwf1",9.05858571684354,"0-10","BSwf",2001,"2001","BS","cool"
"10-20 cm...44","BSwf1",3.39619903952721,"10-20","BSwf",2001,"2001","BS","cool"
"20-30 cm...45","BSwf1",1.94591328825635,"20-30","BSwf",2001,"2001","BS","cool"
"0-10 cm...46","BSwf2",6.4655930137433,"0-10","BSwf",2001,"2001","BS","cool"
"10-20 cm...47","BSwf2",2.53233338129552,"10-20","BSwf",2001,"2001","BS","cool"
"20-30 cm...48","BSwf2",1.80502369897728,"20-30","BSwf",2001,"2001","BS","cool"
"0-10 cm...49","BSwf3",11.0142763445766,"0-10","BSwf",2001,"2001","BS","cool"
"10-20 cm...50","BSwf3",3.09167102319464,"10-20","BSwf",2001,"2001","BS","cool"
"20-30 cm...51","BSwf3",1.90862488157774,"20-30","BSwf",2001,"2001","BS","cool"
"0-10 cm...52","GRpp1",5.78332978690731,"0-10","GRpp",2001,"2001","GR","warm"
"10-20 cm...53","GRpp1",1.57809536558303,"10-20","GRpp",2001,"2001","GR","warm"
"20-30 cm...54","GRpp1",0.480980046088428,"20-30","GRpp",2001,"2001","GR","warm"
"0-10 cm...55","GRpp2",6.3435713298098,"0-10","GRpp",2001,"2001","GR","warm"
"10-20 cm...56","GRpp2",3.61718606536281,"10-20","GRpp",2001,"2001","GR","warm"
"20-30 cm...57","GRpp2",1.02237741448976,"20-30","GRpp",2001,"2001","GR","warm"
"0-10 cm...58","GRpp3",4.85472879640333,"0-10","GRpp",2001,"2001","GR","warm"
"10-20 cm...59","GRpp3",1.14350757645039,"10-20","GRpp",2001,"2001","GR","warm"
"20-30 cm...60","GRpp3",0.71499220466148,"20-30","GRpp",2001,"2001","GR","warm"
"0-10 cm...61","GRrf1",2.61387343174942,"0-10","GRrf",2001,"2001","GR","cold"
"10-20 cm...62","GRrf1",1.07227848037391,"10-20","GRrf",2001,"2001","GR","cold"
"20-30 cm...63","GRrf1",0.661024486895103,"20-30","GRrf",2001,"2001","GR","cold"
"0-10 cm...64","GRrf2",4.66562237490199,"0-10","GRrf",2001,"2001","GR","cold"
"10-20 cm...65","GRrf2",1.21415334976066,"10-20","GRrf",2001,"2001","GR","cold"
"20-30 cm...66","GRrf2",1.52706170455405,"20-30","GRrf",2001,"2001","GR","cold"
"0-10 cm...67","GRrf3",3.53888780581179,"0-10","GRrf",2001,"2001","GR","cold"
"10-20 cm...68","GRrf3",1.18889710349629,"10-20","GRrf",2001,"2001","GR","cold"
"20-30 cm...69","GRrf3",1.24288798640619,"20-30","GRrf",2001,"2001","GR","cold"
"0-10 cm...70","GRwf1",5.33321732940612,"0-10","GRwf",2001,"2001","GR","cool"
"10-20 cm...71","GRwf1",1.89949873020755,"10-20","GRwf",2001,"2001","GR","cool"
"20-30 cm...72","GRwf1",0.660369973206676,"20-30","GRwf",2001,"2001","GR","cool"
"0-10 cm...73","GRwf2",3.44221290682464,"0-10","GRwf",2001,"2001","GR","cool"
"10-20 cm...74","GRwf2",1.47384580721697,"10-20","GRwf",2001,"2001","GR","cool"
"20-30 cm...75","GRwf2",1.76780605352811,"20-30","GRwf",2001,"2001","GR","cool"
"0-10 cm...76","GRwf3",5.85397908713118,"0-10","GRwf",2001,"2001","GR","cool"
"10-20 cm...77","GRwf3",1.90866153867369,"10-20","GRwf",2001,"2001","GR","cool"
"20-30 cm...78","GRwf3",1.36548526522191,"20-30","GRwf",2001,"2001","GR","cool"
"0-10 cm...11","ANpp_1",8.22872560641776,"0-10","ANpp",2009,"2009","AN","warm"
"10-20 cm...21","ANpp_1",2.06020634186142,"10-20","ANpp",2009,"2009","AN","warm"
"20-30 cm...31","ANpp_1",1.90255987043637,"20-30","ANpp",2009,"2009","AN","warm"
"0-10 cm...41","ANpp_2",3.85094382803518,"0-10","ANpp",2009,"2009","AN","warm"
"10-20 cm...51","ANpp_2",2.96244062419541,"10-20","ANpp",2009,"2009","AN","warm"
"20-30 cm...61","ANpp_2",2.16138339327283,"20-30","ANpp",2009,"2009","AN","warm"
"0-10 cm...71","ANpp_3",9.37929209534627,"0-10","ANpp",2009,"2009","AN","warm"
"10-20 cm...81","ANpp_3",1.92885066829486,"10-20","ANpp",2009,"2009","AN","warm"
"20-30 cm...91","ANpp_3",2.26643060127235,"20-30","ANpp",2009,"2009","AN","warm"
"0-10 cm...101","ANrf_1",6.63280177958218,"0-10","ANrf",2009,"2009","AN","cold"
"10-20 cm...111","ANrf_1",4.51257102289178,"10-20","ANrf",2009,"2009","AN","cold"
"20-30 cm...121","ANrf_1",4.13395005765452,"20-30","ANrf",2009,"2009","AN","cold"
"0-10 cm...131","ANrf_2",5.50372660570047,"0-10","ANrf",2009,"2009","AN","cold"
"10-20 cm...141","ANrf_2",4.34997877713309,"10-20","ANrf",2009,"2009","AN","cold"
"20-30 cm...151","ANrf_2",3.49042629050749,"20-30","ANrf",2009,"2009","AN","cold"
"0-10 cm...161","ANrf_3",4.97998629924996,"0-10","ANrf",2009,"2009","AN","cold"
"10-20 cm...171","ANrf_3",4.23789125595621,"10-20","ANrf",2009,"2009","AN","cold"
"20-30 cm...181","ANrf_3",3.60964709956691,"20-30","ANrf",2009,"2009","AN","cold"
"0-10 cm...191","ANwf_1",7.35548774033891,"0-10","ANwf",2009,"2009","AN","cool"
"10-20 cm...201","ANwf_1",4.7372106140811,"10-20","ANwf",2009,"2009","AN","cool"
"20-30 cm...211","ANwf_1",5.53892974286673,"20-30","ANwf",2009,"2009","AN","cool"
"0-10 cm...221","ANwf_2",9.26579867652585,"0-10","ANwf",2009,"2009","AN","cool"
"10-20 cm...231","ANwf_2",7.41519531714961,"10-20","ANwf",2009,"2009","AN","cool"
"20-30 cm...241","ANwf_2",5.68719623940598,"20-30","ANwf",2009,"2009","AN","cool"
"0-10 cm...251","ANwf_3",8.83040676892677,"0-10","ANwf",2009,"2009","AN","cool"
"10-20 cm...261","ANwf_3",5.17536854002981,"10-20","ANwf",2009,"2009","AN","cool"
"20-30 cm...271","ANwf_3",3.73407878275512,"20-30","ANwf",2009,"2009","AN","cool"
"0-10 cm...281","BSpp_1",7.24237215481179,"0-10","BSpp",2009,"2009","BS","warm"
"10-20 cm...291","BSpp_1",4.72393850672605,"10-20","BSpp",2009,"2009","BS","warm"
"20-30 cm...301","BSpp_1",2.66093407215511,"20-30","BSpp",2009,"2009","BS","warm"
"0-10 cm...311","BSpp_2",7.51380102774823,"0-10","BSpp",2009,"2009","BS","warm"
"10-20 cm...321","BSpp_2",3.85847557127693,"10-20","BSpp",2009,"2009","BS","warm"
"20-30 cm...331","BSpp_2",1.63732533553277,"20-30","BSpp",2009,"2009","BS","warm"
"0-10 cm...341","BSpp_3",7.37666588874839,"0-10","BSpp",2009,"2009","BS","warm"
"10-20 cm...351","BSpp_3",3.049847867882,"10-20","BSpp",2009,"2009","BS","warm"
"20-30 cm...361","BSpp_3",1.77190586353247,"20-30","BSpp",2009,"2009","BS","warm"
"0-10 cm...371","BSrf_1",8.03934269206745,"0-10","BSrf",2009,"2009","BS","cold"
"10-20 cm...381","BSrf_1",1.57634097407343,"10-20","BSrf",2009,"2009","BS","cold"
"20-30 cm...391","BSrf_1",0.223519433620125,"20-30","BSrf",2009,"2009","BS","cold"
"0-10 cm...401","BSrf_2",3.15111084978491,"0-10","BSrf",2009,"2009","BS","cold"
"10-20 cm...411","BSrf_2",1.40663821439913,"10-20","BSrf",2009,"2009","BS","cold"
"20-30 cm...421","BSrf_2",1.41597491911356,"20-30","BSrf",2009,"2009","BS","cold"
"0-10 cm...431","BSrf_3",5.05520844202466,"0-10","BSrf",2009,"2009","BS","cold"
"10-20 cm...441","BSrf_3",1.77654021311757,"10-20","BSrf",2009,"2009","BS","cold"
"20-30 cm...451","BSrf_3",1.18608120491469,"20-30","BSrf",2009,"2009","BS","cold"
"0-10 cm...461","BSwf_1",4.43753671595914,"0-10","BSwf",2009,"2009","BS","cool"
"10-20 cm...471","BSwf_1",2.91471895246713,"10-20","BSwf",2009,"2009","BS","cool"
"20-30 cm...481","BSwf_1",1.8749318517032,"20-30","BSwf",2009,"2009","BS","cool"
"0-10 cm...491","BSwf_2",2.77899602870176,"0-10","BSwf",2009,"2009","BS","cool"
"10-20 cm...501","BSwf_2",2.60282901448261,"10-20","BSwf",2009,"2009","BS","cool"
"20-30 cm...511","BSwf_2",2.35400591226337,"20-30","BSwf",2009,"2009","BS","cool"
"0-10 cm...521","BSwf_3",2.74016773651543,"0-10","BSwf",2009,"2009","BS","cool"
"10-20 cm...531","BSwf_3",2.64787956514835,"10-20","BSwf",2009,"2009","BS","cool"
"20-30 cm...541","BSwf_3",2.39438777636316,"20-30","BSwf",2009,"2009","BS","cool"
"0-10 cm...551","GRpp_1",4.5778789768904,"0-10","GRpp",2009,"2009","GR","warm"
"10-20 cm...561","GRpp_1",2.49564857087218,"10-20","GRpp",2009,"2009","GR","warm"
"20-30 cm...571","GRpp_1",1.32236165436408,"20-30","GRpp",2009,"2009","GR","warm"
"0-10 cm...581","GRpp_2",4.73560926789677,"0-10","GRpp",2009,"2009","GR","warm"
"10-20 cm...591","GRpp_2",2.97611199406356,"10-20","GRpp",2009,"2009","GR","warm"
"20-30 cm...601","GRpp_2",1.43965619277359,"20-30","GRpp",2009,"2009","GR","warm"
"0-10 cm...611","GRpp_3",6.40174720714892,"0-10","GRpp",2009,"2009","GR","warm"
"10-20 cm...621","GRpp_3",3.17419271654043,"10-20","GRpp",2009,"2009","GR","warm"
"20-30 cm...631","GRpp_3",0.954672865242307,"20-30","GRpp",2009,"2009","GR","warm"
"0-10 cm...641","GRrf_1",3.09605971164116,"0-10","GRrf",2009,"2009","GR","cold"
"10-20 cm...651","GRrf_1",1.7109211761454,"10-20","GRrf",2009,"2009","GR","cold"
"20-30 cm...661","GRrf_1",0.624957473462388,"20-30","GRrf",2009,"2009","GR","cold"
"0-10 cm...671","GRrf_2",2.17958444353594,"0-10","GRrf",2009,"2009","GR","cold"
"10-20 cm...681","GRrf_2",1.44022616304796,"10-20","GRrf",2009,"2009","GR","cold"
"20-30 cm...691","GRrf_2",0.862591771791578,"20-30","GRrf",2009,"2009","GR","cold"
"0-10 cm...701","GRrf_3",2.12334101479943,"0-10","GRrf",2009,"2009","GR","cold"
"10-20 cm...711","GRrf_3",1.5320952032407,"10-20","GRrf",2009,"2009","GR","cold"
"20-30 cm...721","GRrf_3",0.994344631074719,"20-30","GRrf",2009,"2009","GR","cold"
"0-10 cm...731","GRwf_1",5.27616421441559,"0-10","GRwf",2009,"2009","GR","cool"
"10-20 cm...741","GRwf_1",1.96650409006098,"10-20","GRwf",2009,"2009","GR","cool"
"20-30 cm...751","GRwf_1",0.661573272599642,"20-30","GRwf",2009,"2009","GR","cool"
"0-10 cm...761","GRwf_2",3.84826484631441,"0-10","GRwf",2009,"2009","GR","cool"
"10-20 cm...771","GRwf_2",2.91912696295956,"10-20","GRwf",2009,"2009","GR","cool"
"20-30 cm...781","GRwf_2",1.59338719827412,"20-30","GRwf",2009,"2009","GR","cool"
"0-10 cm...79","GRwf_3",2.07362540402351,"0-10","GRwf",2009,"2009","GR","cool"
"10-20 cm...80","GRwf_3",1.65282644230378,"10-20","GRwf",2009,"2009","GR","cool"
"20-30 cm...81","GRwf_3",1.07505900407606,"20-30","GRwf",2009,"2009","GR","cool"
"1","ANpp_1",4.36749029159546,"0-10","ANpp",2019,"2019","AN","warm"
"2","ANpp_1",3.30130887031555,"10-20","ANpp",2019,"2019","AN","warm"
"3","ANpp_1",3.10042357444763,"20-30","ANpp",2019,"2019","AN","warm"
"4","ANpp_2",4.75916814804077,"0-10","ANpp",2019,"2019","AN","warm"
"5","ANpp_2",2.86046361923218,"10-20","ANpp",2019,"2019","AN","warm"
"6","ANpp_2",2.34590983390808,"20-30","ANpp",2019,"2019","AN","warm"
"7","ANpp_3",4.8204493522644,"0-10","ANpp",2019,"2019","AN","warm"
"8","ANpp_3",3.1683566570282,"10-20","ANpp",2019,"2019","AN","warm"
"9","ANpp_3",1.35629320144653,"20-30","ANpp",2019,"2019","AN","warm"
"10","ANrf_1",9.64131450653076,"0-10","ANrf",2019,"2019","AN","cold"
"11","ANrf_1",9.17920207977295,"10-20","ANrf",2019,"2019","AN","cold"
"12","ANrf_1",6.48364019393921,"20-30","ANrf",2019,"2019","AN","cold"
"13","ANrf_2",13.4934120178223,"0-10","ANrf",2019,"2019","AN","cold"
"14","ANrf_2",6.56221532821655,"10-20","ANrf",2019,"2019","AN","cold"
"15","ANrf_2",5.34935808181763,"20-30","ANrf",2019,"2019","AN","cold"
"16","ANrf_3",13.3528108596802,"0-10","ANrf",2019,"2019","AN","cold"
"17","ANrf_3",9.9682035446167,"10-20","ANrf",2019,"2019","AN","cold"
"18","ANrf_3",4.73542547225952,"20-30","ANrf",2019,"2019","AN","cold"
"19","ANwf_1",8.60512351989746,"0-10","ANwf",2019,"2019","AN","cool"
"20","ANwf_1",9.10203266143799,"10-20","ANwf",2019,"2019","AN","cool"
"21","ANwf_1",8.0152063369751,"20-30","ANwf",2019,"2019","AN","cool"
"22","ANwf_2",9.28986835479736,"0-10","ANwf",2019,"2019","AN","cool"
"23","ANwf_2",9.27425479888916,"10-20","ANwf",2019,"2019","AN","cool"
"24","ANwf_2",7.95810604095459,"20-30","ANwf",2019,"2019","AN","cool"
"25","ANwf_3",8.83144855499268,"0-10","ANwf",2019,"2019","AN","cool"
"26","ANwf_3",6.83183670043945,"10-20","ANwf",2019,"2019","AN","cool"
"27","ANwf_3",6.50075578689575,"20-30","ANwf",2019,"2019","AN","cool"
"28","BSpp_1",6.42295742034912,"0-10","BSpp",2019,"2019","BS","warm"
"29","BSpp_1",4.24660539627075,"10-20","BSpp",2019,"2019","BS","warm"
"30","BSpp_1",1.38368725776672,"20-30","BSpp",2019,"2019","BS","warm"
"31","BSpp_2",5.56052207946777,"0-10","BSpp",2019,"2019","BS","warm"
"32","BSpp_2",2.67755746841431,"10-20","BSpp",2019,"2019","BS","warm"
"33","BSpp_2",1.4065123796463,"20-30","BSpp",2019,"2019","BS","warm"
"34","BSpp_3",3.84096074104309,"0-10","BSpp",2019,"2019","BS","warm"
"35","BSpp_3",3.94457411766052,"10-20","BSpp",2019,"2019","BS","warm"
"36","BSpp_3",1.93087422847748,"20-30","BSpp",2019,"2019","BS","warm"
"37","BSrf_1",3.91404747962952,"0-10","BSrf",2019,"2019","BS","cold"
"38","BSrf_1",1.80542075634003,"10-20","BSrf",2019,"2019","BS","cold"
"39","BSrf_1",1.62672543525696,"20-30","BSrf",2019,"2019","BS","cold"
"40","BSrf_2",1.16053318977356,"0-10","BSrf",2019,"2019","BS","cold"
"41","BSrf_2",1.48981142044067,"10-20","BSrf",2019,"2019","BS","cold"
"42","BSrf_2",2.04467725753784,"20-30","BSrf",2019,"2019","BS","cold"
"43","BSrf_3",3.1669590473175,"0-10","BSrf",2019,"2019","BS","cold"
"44","BSrf_3",1.28763914108276,"10-20","BSrf",2019,"2019","BS","cold"
"45","BSrf_3",1.6250821352005,"20-30","BSrf",2019,"2019","BS","cold"
"46","BSwf_1",5.74416589736938,"0-10","BSwf",2019,"2019","BS","cool"
"47","BSwf_1",2.82350993156433,"10-20","BSwf",2019,"2019","BS","cool"
"48","BSwf_1",1.87109351158142,"20-30","BSwf",2019,"2019","BS","cool"
"49","BSwf_2",4.82486486434937,"0-10","BSwf",2019,"2019","BS","cool"
"50","BSwf_2",2.81559872627258,"10-20","BSwf",2019,"2019","BS","cool"
"51","BSwf_2",2.03889799118042,"20-30","BSwf",2019,"2019","BS","cool"
"52","BSwf_3",6.70053768157959,"0-10","BSwf",2019,"2019","BS","cool"
"53","BSwf_3",2.75469088554382,"10-20","BSwf",2019,"2019","BS","cool"
"54","BSwf_3",1.85948121547699,"20-30","BSwf",2019,"2019","BS","cool"
"55","GRpp_1",8.76190757751465,"0-10","GRpp",2019,"2019","GR","warm"
"56","GRpp_1",4.3944993019104,"10-20","GRpp",2019,"2019","GR","warm"
"57","GRpp_1",2.70964050292969,"20-30","GRpp",2019,"2019","GR","warm"
"58","GRpp_2",3.24685049057007,"0-10","GRpp",2019,"2019","GR","warm"
"59","GRpp_2",2.20006132125854,"10-20","GRpp",2019,"2019","GR","warm"
"60","GRpp_2",0.674578905105591,"20-30","GRpp",2019,"2019","GR","warm"
"61","GRpp_3",2.99863815307617,"0-10","GRpp",2019,"2019","GR","warm"
"62","GRpp_3",8.05738544464111,"10-20","GRpp",2019,"2019","GR","warm"
"63","GRpp_3",1.51419270038605,"20-30","GRpp",2019,"2019","GR","warm"
"64","GRrf_1",5.86133893330892,"0-10","GRrf",2019,"2019","GR","cold"
"65","GRrf_1",1.90340983867645,"0-10","GRrf",2019,"2019","GR","cold"
"66","GRrf_1",1.0809045235316,"10-20","GRrf",2019,"2019","GR","cold"
"67","GRrf_2",0.948205471038818,"20-30","GRrf",2019,"2019","GR","cold"
"68","GRrf_2",2.08154344558716,"10-20","GRrf",2019,"2019","GR","cold"
"69","GRrf_2",1.22703969478607,"20-30","GRrf",2019,"2019","GR","cold"
"70","GRrf_3",6.39419984817505,"0-10","GRrf",2019,"2019","GR","cold"
"71","GRrf_3",1.5243136882782,"10-20","GRrf",2019,"2019","GR","cold"
"72","GRrf_3",0.771966516971588,"20-30","GRrf",2019,"2019","GR","cold"
"73","GRwf_1",2.30213141441345,"0-10","GRwf",2019,"2019","GR","cool"
"74","GRwf_1",0.861249148845673,"10-20","GRwf",2019,"2019","GR","cool"
"75","GRwf_1",0.916954398155212,"20-30","GRwf",2019,"2019","GR","cool"
"76","GRwf_2",4.59044186274211,"0-10","GRwf",2019,"2019","GR","cool"
"77","GRwf_2",5.18354654312134,"10-20","GRwf",2019,"2019","GR","cool"
"78","GRwf_2",4.1653151512146,"20-30","GRwf",2019,"2019","GR","cool"
"79","GRwf_3",2.21627330780029,"0-10","GRwf",2019,"2019","GR","cool"
"80","GRwf_3",0.916520118713379,"10-20","GRwf",2019,"2019","GR","cool"
"81","GRwf_3",0.934888422489166,"20-30","GRwf",2019,"2019","GR","cool"
